                         "Surface Integral Report"

         Maximum of Facet Values
              Velocity Magnitude                [m/s]
-------------------------------- --------------------
                           xd000            1.1597754
                           xd001            1.1420461
                           xd002            1.1451917
                           xd003            1.1243204
                           xd004           0.86680984
                           xd005           0.79076761
                           xd006           0.76725602
                           xd007           0.66365081
                           xd008           0.58932823
                           xd009           0.58243799
                           xd010           0.53166759
                           xd011           0.53166759
                           xd012           0.52332562
                           xd013           0.51267707
                           xd014           0.49716863
                           xd015           0.48677126
                           xd016           0.48367241
                           xd017            0.4811863
                           xd018              0.45587
                           xd019           0.44980749
                           xd020           0.44673425
                           xd021           0.43992814
                           xd022           0.42205453
                           xd023           0.41375402
                           xd024           0.41375402
                           xd025           0.39967763
                           xd026           0.39085883
                           xd027           0.38255876
                           xd028           0.37830436
                           xd029           0.36423475
                           xd030           0.35362646
                           xd031           0.34935755
                           xd032           0.33553845
                           xd033           0.32470718
                           xd034           0.31282914
                           xd035            0.3025842
                           xd036           0.30127528
                           xd037           0.29007751
                           xd038           0.27793139
                           xd039           0.27272794
                           xd040           0.25937852
                           xd041           0.25286642
                           xd042           0.25076032
                           xd043           0.24618603
                           xd044           0.23544388
                           xd045           0.23011526
                           xd046           0.22884558
                           xd047           0.21360475
                           xd048           0.21360475
                           xd049           0.21250457
                           xd050           0.20390376
                           xd051           0.19879328
                           xd052           0.19619624
                           xd053           0.19619624
                           xd054           0.19055967
                           xd055           0.18812254
                           xd056           0.18264113
                           xd057           0.18045202
                           xd058           0.17501388
                           xd059           0.16792363
                           xd060           0.16424875
                           xd061           0.16209558
                           xd062           0.16057013
                           xd063           0.15551358
                           xd064            0.1520209
                           xd065           0.14681631
                           xd066           0.14387767
                           xd067           0.14045003
                           xd068           0.13837229
                           xd069           0.13486652
                           xd070           0.13436513
                           xd071           0.13281438
                           xd072           0.13017206
                           xd073           0.12645274
                           xd074           0.12434623
                           xd075            0.1232539
                           xd076           0.12107534
                           xd077           0.11854085
                           xd078            0.1179418
                           xd079           0.11617018
                           xd080           0.11297274
                           xd081           0.11129726
                           xd082           0.11010385
                           xd083           0.10869493
                           xd084           0.10620625
                           xd085           0.10456637
                           xd086           0.10380337
                           xd087           0.10159057
                           xd088          0.099854298
                           xd089          0.098419599
                           xd090          0.097024292
                           xd091          0.096183933
                           xd092          0.094408646
                           xd093          0.093203694
                           xd094          0.090489626
                           xd095          0.089323364
                           xd096          0.088844754
                           xd097          0.087487422
                           xd098          0.086312689
                           xd099          0.084681414
                           xd100          0.083473451
                           xd110          0.072767019
                           xd120          0.064041048
                           xd130          0.056368235
                           xd140          0.050982576
                           xd150          0.045819171
                           xd160          0.041924626
                           xd170          0.038349554
                           xd180          0.035097964
                           xd190          0.032585796
                           xd200          0.030222369
                           xd210          0.028351104
                           xd220          0.026670296
                           xd230          0.024796655
                           xd240          0.023601772
                           xd250          0.022050159
                           xd260           0.02093683
                           xd270          0.019935414
                           xd280          0.018873099
                           xd290          0.017972657
                           xd300          0.017198456
                           xd310          0.016544666
                           xd320          0.015715118
                           xd330          0.015097369
                           xd340          0.014533156
                           xd350          0.014019193
                           xd360           0.01359491
                           xd370          0.013197999
                           xd380           0.01282295
                           xd390           0.01250694
                           xd400          0.012269164
                           xd410          0.012008397
                           xd420          0.011776919
                           xd430          0.011539218
                           xd440          0.011322414
                           xd450          0.011070058
                           xd460          0.010706801
                           xd470           0.01049933
                           xd480          0.010355935
                           xd490          0.010219839
                           xd500          0.010049332
                ---------------- --------------------
                             Net            1.1597754
