                         "Surface Integral Report"

         Maximum of Facet Values
              Velocity Magnitude                [m/s]
-------------------------------- --------------------
                           xd000            1.1166325
                           xd001            1.1030316
                           xd002            1.1085697
                           xd003            1.0873471
                           xd004           0.85688031
                           xd005           0.77453178
                           xd006           0.74715692
                           xd007           0.64400095
                           xd008           0.56452411
                           xd009           0.55527419
                           xd010           0.49995828
                           xd011           0.49995828
                           xd012           0.48845556
                           xd013           0.46336168
                           xd014           0.45527372
                           xd015           0.44126698
                           xd016           0.43957973
                           xd017           0.43343675
                           xd018           0.40731391
                           xd019            0.4012337
                           xd020           0.39966324
                           xd021           0.39256299
                           xd022           0.37159076
                           xd023           0.36784169
                           xd024           0.36784169
                           xd025           0.35367376
                           xd026           0.34753978
                           xd027           0.34048796
                           xd028           0.33860597
                           xd029           0.32856336
                           xd030           0.32079864
                           xd031             0.318113
                           xd032           0.30845237
                           xd033           0.30096617
                           xd034           0.29228574
                           xd035           0.28517494
                           xd036           0.28517494
                           xd037           0.27680603
                           xd038           0.26802936
                           xd039           0.26394227
                           xd040           0.25610444
                           xd041           0.25114059
                           xd042           0.24717364
                           xd043           0.24035114
                           xd044           0.23768799
                           xd045           0.23389696
                           xd046            0.2301815
                           xd047           0.22325686
                           xd048           0.21932894
                           xd049            0.2184895
                           xd050           0.21256033
                           xd051            0.2075865
                           xd052           0.20260166
                           xd053           0.20203923
                           xd054           0.19993807
                           xd055           0.19770607
                           xd056           0.19414502
                           xd057           0.19222467
                           xd058           0.19113018
                           xd059           0.18332185
                           xd060           0.18091725
                           xd061           0.17901939
                           xd062           0.17806731
                           xd063           0.17668167
                           xd064           0.17303121
                           xd065           0.17088754
                           xd066           0.16342233
                           xd067           0.16069825
                           xd068           0.16028769
                           xd069           0.15882263
                           xd070           0.15627274
                           xd071           0.15436275
                           xd072            0.1531956
                           xd073           0.15056206
                           xd074            0.1469872
                           xd075           0.14473216
                           xd076           0.14386529
                           xd077           0.14273679
                           xd078           0.14138396
                           xd079           0.14033332
                           xd080           0.13816288
                           xd081           0.13505737
                           xd082           0.13505737
                           xd083           0.13385876
                           xd084            0.1314255
                           xd085           0.13012201
                           xd086           0.12885867
                           xd087           0.12760837
                           xd088           0.12539199
                           xd089           0.12461812
                           xd090           0.12293444
                           xd091           0.12168199
                           xd092           0.11874384
                           xd093           0.11874384
                           xd094           0.11749988
                           xd095           0.11518522
                           xd096           0.11420339
                           xd097           0.11366015
                           xd098           0.11248432
                           xd099           0.10989133
                           xd100           0.10883611
                           xd110          0.098556019
                           xd120          0.089983687
                           xd130          0.082156785
                           xd140          0.074158363
                           xd150          0.069189534
                           xd160          0.063978933
                           xd170           0.05925009
                           xd180          0.055236887
                           xd190          0.051534068
                           xd200          0.048427429
                           xd210          0.045549363
                           xd220          0.042830557
                           xd230          0.040373415
                           xd240          0.038345318
                           xd250          0.036430888
                           xd260          0.034423441
                           xd270          0.032723639
                           xd280           0.03117713
                           xd290          0.029883375
                           xd300          0.028627776
                           xd310          0.027271828
                           xd320          0.026184978
                           xd330           0.02505393
                           xd340          0.024190588
                           xd350          0.023150118
                           xd360          0.022317594
                           xd370          0.021457201
                           xd380          0.020848503
                           xd390          0.020105716
                           xd400          0.019406836
                           xd410          0.018725721
                           xd420          0.018220976
                           xd430          0.017587045
                           xd440          0.017063268
                           xd450          0.016498553
                           xd460          0.016012914
                           xd470          0.015458393
                           xd480          0.015000078
                           xd490          0.014512903
                           xd500          0.013932366
                ---------------- --------------------
                             Net            1.1166325
