x_star,upper_mean,upper_std,lower_mean,lower_std,Spalart-Allmaras_upper,Spalart-Allmaras_lower,Spalart-Allmaras w/ CFC_upper,Spalart-Allmaras w/ CFC_lower,RSM $\epsilon$-linear_upper,RSM $\epsilon$-linear_lower
0.000000000000000000e+00,8.510011235217095349e-01,1.531608719416738262e-02,8.510011235217095349e-01,1.531608719416738262e-02,8.605183556965866343e-01,8.605183556965866343e-01,8.630930418236046897e-01,8.630930418236046897e-01,8.293919730449371697e-01,8.293919730449371697e-01
4.016064257028112081e-03,1.099468759208428681e+00,7.441064195957217131e-02,-1.074881995210777763e+00,7.021451439702119934e-02,1.178483985885372842e+00,-1.156250888300736079e+00,1.120151352051252047e+00,-1.083486943833526395e+00,9.997709396886615973e-01,-9.849081534980705932e-01
8.032128514056224161e-03,1.197579464605291077e+00,8.846147004316098905e-02,-1.175371286002570015e+00,9.763689791551731501e-02,1.300589589968211612e+00,-1.292693960470632009e+00,1.207554749009969841e+00,-1.179765387024042100e+00,1.084594054837691557e+00,-1.053654510513035714e+00
1.204819277108433624e-02,1.305884308268982830e+00,1.131462419625169358e-01,-1.296627022006435537e+00,1.239291745623135460e-01,1.438384167307881656e+00,-1.452127331930661125e+00,1.317325746489872884e+00,-1.288894012599157257e+00,1.161943011009194393e+00,-1.148859721489488006e+00
1.606425702811244832e-02,1.438686106976716950e+00,1.516761109848750733e-01,-1.441616741136254154e+00,1.628253657118970965e-01,1.623654238593755572e+00,-1.646782470408517440e+00,1.440268808306335524e+00,-1.429578988063115119e+00,1.252135274030059975e+00,-1.248488764937129680e+00
2.008032128514056214e-02,1.582913184640728277e+00,1.876852432590246922e-01,-1.613851027894455337e+00,2.271220994771262491e-01,1.819374226122038030e+00,-1.904260537813409204e+00,1.569101329386564325e+00,-1.587488224777840573e+00,1.360263998413582698e+00,-1.349804321092116011e+00
2.409638554216867248e-02,1.748786146135753894e+00,2.371008561217712307e-01,-1.800241155697442474e+00,2.878831284930701284e-01,2.049997125126422848e+00,-2.171279737624828066e+00,1.725770560481308724e+00,-1.759852225263248915e+00,1.470590752799530110e+00,-1.469591504204250665e+00
2.811244979919678283e-02,1.886536270508842206e+00,2.634947286375968756e-01,-1.984701475332520282e+00,3.371275502277250036e-01,2.223094745481827506e+00,-2.414236388055927662e+00,1.856786823040941448e+00,-1.949119109722228682e+00,1.579727243003758108e+00,-1.590748928219404057e+00
3.212851405622489664e-02,2.006748090320795264e+00,2.722186160292573431e-01,-2.178437022931699385e+00,3.759810760418555997e-01,2.335734938096494684e+00,-2.644249976451233053e+00,2.015402588344480161e+00,-2.167580931360618468e+00,1.669106744521410723e+00,-1.723480160983246190e+00
3.614457831325301046e-02,2.140177790350738629e+00,2.746706239549105422e-01,-2.355515207553301682e+00,3.830452908240135623e-01,2.463390478431946029e+00,-2.791037422845205285e+00,2.165162164710487502e+00,-2.416726934111872893e+00,1.791980727909781690e+00,-1.858781265702826868e+00
4.016064257028112428e-02,2.272692626091223023e+00,2.684033333956244438e-01,-2.549437092513501923e+00,3.864578189086491644e-01,2.575117103699711141e+00,-2.974079837297404882e+00,2.320138637994693553e+00,-2.635081109336875560e+00,1.922822136579265262e+00,-2.039150330906225328e+00
4.417670682730923115e-02,2.384224578328817845e+00,2.672347235386343112e-01,-2.736723469834693390e+00,3.806150583230712425e-01,2.676136152911513300e+00,-3.135996187722712492e+00,2.446144524747886795e+00,-2.849717414118231762e+00,2.030393057327053441e+00,-2.224456807663136804e+00
4.819277108433734497e-02,2.495665941040801528e+00,2.520219222799164882e-01,-2.899025274842076616e+00,3.628602900168888534e-01,2.780417484808710427e+00,-3.262351266946470929e+00,2.538924198111240926e+00,-3.031204679849279326e+00,2.167656140202452786e+00,-2.403519877730479593e+00
5.220883534136545878e-02,2.600500587694963617e+00,2.183404047778933210e-01,-3.031268905723788265e+00,3.208217815741334356e-01,2.852734229222867679e+00,-3.351414786897114695e+00,2.628631752652189846e+00,-3.149619894378879348e+00,2.320135781209832437e+00,-2.592772035895371197e+00
5.622489959839356566e-02,2.698071953953038005e+00,1.790949196396494081e-01,-3.150380402683275793e+00,2.635667830724445215e-01,2.905886403177939226e+00,-3.395147464489887135e+00,2.719553530200599312e+00,-3.271447046969175432e+00,2.468775928480574589e+00,-2.784546696590765702e+00
6.024096385542167947e-02,2.767093258287326663e+00,1.336481546202800963e-01,-3.248344878221472332e+00,2.118846510649408654e-01,2.921277670705983098e+00,-3.411495832676741280e+00,2.784674802798272619e+00,-3.384436538110626724e+00,2.595327301357723826e+00,-2.949102263877049879e+00
6.425702811244979329e-02,2.851215112382857964e+00,1.201216381096456148e-01,-3.337281930716970546e+00,1.654065342938296768e-01,2.999810937839842762e+00,-3.426280827686927211e+00,2.848214271163544087e+00,-3.480128097697745115e+00,2.705620128145186598e+00,-3.105436866766237980e+00
6.827309236947790017e-02,2.920743996344132398e+00,1.263426775426482462e-01,-3.416976900300232156e+00,1.213130539810041014e-01,3.085894922142377261e+00,-3.487606074481143459e+00,2.897224329383728314e+00,-3.517065139676541552e+00,2.779112737506292952e+00,-3.246259486743011458e+00
7.228915662650602092e-02,2.974815462343994188e+00,1.453277179951779630e-01,-3.492220065098848636e+00,8.964775472638010501e-02,3.171668770383377911e+00,-3.583481650960023579e+00,2.927543473429183862e+00,-3.522803261046940193e+00,2.825234143219420790e+00,-3.370375283289582580e+00
7.630522088353412780e-02,3.031021521535969487e+00,1.667703232389845802e-01,-3.546038660866402292e+00,7.337948663456202170e-02,3.254500561114068269e+00,-3.637993726682106299e+00,2.984561019982422181e+00,-3.541714735140280901e+00,2.854002983511418012e+00,-3.458407520776819233e+00
8.032128514056224855e-02,3.100617246659572945e+00,1.875120838413179003e-01,-3.583483297142751045e+00,7.550489419959152682e-02,3.344700864589265077e+00,-3.680640770149551599e+00,3.068344936821849611e+00,-3.573268640862091949e+00,2.888805938567605480e+00,-3.496540480416610031e+00
8.433734939759035543e-02,3.175969861313706843e+00,2.085098746837718564e-01,-3.630917758340113100e+00,9.036786046766735747e-02,3.421273743738759698e+00,-3.742218075956379675e+00,3.195036146562566071e+00,-3.629661576975667270e+00,2.911599693639796094e+00,-3.520873622088292798e+00
8.835341365461846230e-02,3.244148978370958947e+00,2.394240238121901065e-01,-3.693296451465752028e+00,1.099938116232540009e-01,3.487505673984760080e+00,-3.811422235801563030e+00,3.326355239577537759e+00,-3.721884470299416048e+00,2.918586021550579890e+00,-3.546582648296277895e+00
9.236947791164658306e-02,3.317772207518056238e+00,2.890885866097068213e-01,-3.757528604051469490e+00,1.257045063170034449e-01,3.578848764872266663e+00,-3.873802760532135014e+00,3.459699687720947825e+00,-3.815850423125316304e+00,2.914768169960955113e+00,-3.582932628496957150e+00
9.638554216867468993e-02,3.402709904292470000e+00,3.366974276607425098e-01,-3.823254769838834388e+00,1.540798812510064952e-01,3.683740096416602050e+00,-3.947995997466533513e+00,3.595082567131278051e+00,-3.915611769290805011e+00,2.929307049329529899e+00,-3.606156542759164196e+00
1.004016064257027968e-01,3.484886523112512347e+00,3.695637365753318138e-01,-3.883332967657705748e+00,1.874065397761600082e-01,3.758059597396815832e+00,-4.020181475357658130e+00,3.734173523158165420e+00,-4.011469597967146861e+00,2.962426448782554900e+00,-3.618347829648310920e+00
1.044176706827309176e-01,3.583343304222953218e+00,3.881486487204517388e-01,-3.943289494006827933e+00,2.158832217153129063e-01,3.838456868635351071e+00,-4.057638969343742019e+00,3.876710341959116235e+00,-4.131270821417135863e+00,3.034862702074392349e+00,-3.640958691259605473e+00
1.084337349397590244e-01,3.685589018500349923e+00,4.075665059401591961e-01,-4.021427200083485864e+00,2.458657076260492014e-01,3.929865425240097299e+00,-4.110815392621795183e+00,4.015570780382114791e+00,-4.267735221599989082e+00,3.111330849878837679e+00,-3.685730986028674661e+00
1.124497991967871313e-01,3.779949236540548707e+00,4.385218344589054129e-01,-4.100798742867132418e+00,2.680328778748260476e-01,4.008356346754466060e+00,-4.169044022123425286e+00,4.165069967793267658e+00,-4.389583786373368213e+00,3.166421395073912848e+00,-3.743768420104602423e+00
1.164658634538152521e-01,3.875244711512686013e+00,4.613114392205807657e-01,-4.176697793028390393e+00,2.861015939576782019e-01,4.066476727585408568e+00,-4.221164412557365075e+00,4.319800067910998465e+00,-4.502743427371115992e+00,3.239457339041651451e+00,-3.806185539156689668e+00
1.204819277108433589e-01,3.975890222557204368e+00,4.782087616532419982e-01,-4.257270053972724178e+00,3.106063214945880557e-01,4.128377618635107105e+00,-4.280993653024076195e+00,4.470248071230954245e+00,-4.625266548505026165e+00,3.329044977805552641e+00,-3.865549960389070616e+00
1.244979919678714797e-01,4.076082964920595408e+00,5.004440255492124123e-01,-4.324840752429309987e+00,3.454957383961919093e-01,4.193980778064744896e+00,-4.318607410848398942e+00,4.621486119074485366e+00,-4.751067121719394493e+00,3.412781997622553742e+00,-3.904847724720137414e+00
1.285140562248995866e-01,4.175926878760825467e+00,5.269514943044510957e-01,-4.391773303083027713e+00,3.769299054788365910e-01,4.253438477466979784e+00,-4.358376751020879958e+00,4.779051738155192020e+00,-4.869207656710806020e+00,3.495290420660303710e+00,-3.947735501517395384e+00
1.325301204819276935e-01,4.271083945198406617e+00,5.579570199281490561e-01,-4.468509046425224618e+00,3.964913335975218667e-01,4.301416814554945844e+00,-4.403128143615468559e+00,4.938767414897445640e+00,-4.983487865497982838e+00,3.573067606142826591e+00,-4.018911130162223344e+00
1.365461847389558003e-01,4.368022559565246432e+00,5.956667942393627513e-01,-4.554434795172312533e+00,4.102384048205721667e-01,4.352834886612618526e+00,-4.471891854342932682e+00,5.105037670465203625e+00,-5.093032436599568058e+00,3.646195121617916701e+00,-4.098380094574436860e+00
1.405622489959839350e-01,4.463499748461524419e+00,6.400666681466351537e-01,-4.638775090759460262e+00,4.219634534795717595e-01,4.406591081756314310e+00,-4.545415632540518835e+00,5.274321682273707346e+00,-5.195888696859291223e+00,3.709586481354550269e+00,-4.175020942878572505e+00
1.445783132530120418e-01,4.556340514651105345e+00,6.867820704937926957e-01,-4.711347353696527129e+00,4.404760534663981209e-01,4.451408949651332492e+00,-4.602819997914992634e+00,5.445015866294777851e+00,-5.296831409868570262e+00,3.772596728007207467e+00,-4.234390653306020269e+00
1.485943775100401487e-01,4.652786708673164462e+00,7.207330835081500187e-01,-4.780490400511292037e+00,4.587181456601608920e-01,4.507223811166027438e+00,-4.650906246012739054e+00,5.599234483117922601e+00,-5.395772682863271719e+00,3.851901831735543347e+00,-4.294792272657865340e+00
1.526104417670682556e-01,4.748969177282653220e+00,7.559221001651224014e-01,-4.853837627360007012e+00,4.738347044540822672e-01,4.581946471038569335e+00,-4.705830609932938557e+00,5.746922925515645986e+00,-5.493835334640884582e+00,3.918038135293746116e+00,-4.361846937506198785e+00
1.566265060240963625e-01,4.834171902519952546e+00,7.890721648966869672e-01,-4.922122273696664330e+00,4.839736562168602818e-01,4.651255241310495947e+00,-4.757610634362108293e+00,5.878970908545122498e+00,-5.579745532710718159e+00,3.972289557704237861e+00,-4.429010654017165649e+00
1.606425702811244971e-01,4.916655558029304984e+00,8.223770895155153582e-01,-4.997125058359578986e+00,4.898719335448252221e-01,4.717091359536594197e+00,-4.824554874677509098e+00,6.008701087041156796e+00,-5.664466443248345584e+00,4.024174227510163959e+00,-4.502353857152883165e+00
1.646586345381526040e-01,4.996983128166949228e+00,8.500584375462229003e-01,-5.059903860625490246e+00,4.960252861094739951e-01,4.778392373698528317e+00,-4.883155158697092268e+00,6.130027782524706481e+00,-5.736182582184897960e+00,4.082529228277613775e+00,-4.560373840994481398e+00
1.686746987951807109e-01,5.076749109413279726e+00,8.707439319709139314e-01,-5.112678421241272808e+00,5.028050315122347680e-01,4.836135562505710972e+00,-4.936657488280327577e+00,6.242938922876639651e+00,-5.797331010724049882e+00,4.151172842857489442e+00,-4.604046764719439189e+00
1.726907630522088177e-01,5.148635693681685055e+00,8.883014250660411504e-01,-5.156025797311738046e+00,5.087535046457212218e-01,4.887413825076987628e+00,-4.968561240925815525e+00,6.343408967189636982e+00,-5.851329328814086850e+00,4.215084288778429666e+00,-4.648186822195310874e+00
1.767068273092369246e-01,5.221080211316603048e+00,9.021875292463005236e-01,-5.200359650937293132e+00,5.153913570728757554e-01,4.938585860718907483e+00,-5.003556630223466861e+00,6.439852891325944739e+00,-5.906538920591604125e+00,4.284801881904955145e+00,-4.690983401996808411e+00
1.807228915662650315e-01,5.290324030727265203e+00,9.102573508789402190e-01,-5.241633942296309634e+00,5.199963770367170834e-01,4.980882967784184601e+00,-5.042777953902813692e+00,6.527189348568546379e+00,-5.954198601606963237e+00,4.362899775829065518e+00,-4.727925271379151972e+00
1.847389558232931661e-01,5.356471693276120050e+00,9.167203857461962979e-01,-5.284516460059809795e+00,5.293550381404100724e-01,5.025330054466282448e+00,-5.091677631888742006e+00,6.607548528209619576e+00,-6.007382220107357895e+00,4.436536497152459901e+00,-4.754489528183329483e+00
1.887550200803212730e-01,5.418359662317523195e+00,9.272122649238988545e-01,-5.322105251308159701e+00,5.351263832461493619e-01,5.071640944161564413e+00,-5.135202015311703505e+00,6.686900957969593939e+00,-6.050648007923277838e+00,4.496537084821412122e+00,-4.780465730689499537e+00
1.927710843373493799e-01,5.475103992491376914e+00,9.395267882501072698e-01,-5.359188722644813829e+00,5.444705873214148451e-01,5.118184839697894617e+00,-5.178328071964198642e+00,6.761950873730712352e+00,-6.097800657924595136e+00,4.545176264045523773e+00,-4.801437438045647710e+00
1.967871485943774867e-01,5.531374711414893675e+00,9.457064439907166831e-01,-5.399328730544584509e+00,5.549675541750229701e-01,5.162260898458736591e+00,-5.224534659590124974e+00,6.829195855224826417e+00,-6.149348399086732364e+00,4.602667380561118016e+00,-4.824103132956894413e+00
